[2016-09-05 18:15:16,049 - ReplayDB.py:48 -             __init__() ] Connected to database /data/ascar/ascar_replay_db.sqlite
[2016-09-05 18:15:28,394 - discrete_deepq.py:247 -               action() ] Randomly chose action 0
[2016-09-05 18:15:28,396 - DQLDaemon.py:167 -                start() ] Cumulative reward: 0.0
[2016-09-05 18:15:28,412 - DQLDaemon.py:182 -    _do_training_step() ] Got minibatch of size 8
[2016-09-05 18:15:28,419 - DQLDaemon.py:147 -                start() ] Finished training step in 0.022002696990966797 seconds
[2016-09-05 18:15:28,419 - DQLDaemon.py:159 -                start() ] Sleeping for 0.9758076667785645 seconds
[2016-09-05 18:15:29,397 - DQLDaemon.py:199 -      _do_action_step() ] . Skipped taking action.
[2016-09-05 18:15:29,399 - DQLDaemon.py:167 -                start() ] Cumulative reward: 0
[2016-09-05 18:15:29,415 - DQLDaemon.py:182 -    _do_training_step() ] Got minibatch of size 8
[2016-09-05 18:15:29,422 - DQLDaemon.py:147 -                start() ] Finished training step in 0.023069381713867188 seconds
[2016-09-05 18:15:29,422 - DQLDaemon.py:159 -                start() ] Sleeping for 0.9750926494598389 seconds
[2016-09-05 18:15:30,400 - DQLDaemon.py:199 -      _do_action_step() ] . Skipped taking action.
[2016-09-05 18:15:30,402 - DQLDaemon.py:167 -                start() ] Cumulative reward: 0
[2016-09-05 18:15:30,418 - DQLDaemon.py:182 -    _do_training_step() ] Got minibatch of size 8
[2016-09-05 18:15:30,425 - DQLDaemon.py:147 -                start() ] Finished training step in 0.02276468276977539 seconds
[2016-09-05 18:15:30,425 - DQLDaemon.py:159 -                start() ] Sleeping for 0.9755566120147705 seconds
[2016-09-05 18:15:31,402 - DQLDaemon.py:199 -      _do_action_step() ] . Skipped taking action.
[2016-09-05 18:15:31,404 - DQLDaemon.py:167 -                start() ] Cumulative reward: 0
[2016-09-05 18:15:31,419 - DQLDaemon.py:182 -    _do_training_step() ] Got minibatch of size 8
[2016-09-05 18:15:31,426 - DQLDaemon.py:147 -                start() ] Finished training step in 0.021691560745239258 seconds
[2016-09-05 18:15:31,426 - DQLDaemon.py:159 -                start() ] Sleeping for 0.9767947196960449 seconds
[2016-09-05 18:15:32,407 - DQLDaemon.py:199 -      _do_action_step() ] . Skipped taking action.
[2016-09-05 18:15:32,409 - DQLDaemon.py:167 -                start() ] Cumulative reward: 0.0
[2016-09-05 18:15:32,423 - DQLDaemon.py:182 -    _do_training_step() ] Got minibatch of size 8
[2016-09-05 18:15:32,428 - DQLDaemon.py:147 -                start() ] Finished training step in 0.01881241798400879 seconds
[2016-09-05 18:15:32,428 - DQLDaemon.py:159 -                start() ] Sleeping for 0.9794411659240723 seconds
[2016-09-05 18:15:33,415 - discrete_deepq.py:251 -               action() ] Chose calculated action 0
[2016-09-05 18:15:33,416 - DQLDaemon.py:167 -                start() ] Cumulative reward: 0.0
[2016-09-05 18:15:33,432 - DQLDaemon.py:182 -    _do_training_step() ] Got minibatch of size 8
[2016-09-05 18:15:33,438 - DQLDaemon.py:147 -                start() ] Finished training step in 0.020821094512939453 seconds
[2016-09-05 18:15:33,438 - DQLDaemon.py:159 -                start() ] Sleeping for 0.9770607948303223 seconds
[2016-09-05 18:15:34,422 - discrete_deepq.py:247 -               action() ] Randomly chose action 2
[2016-09-05 18:15:34,435 - DQLDaemon.py:167 -                start() ] Cumulative reward: 0.0
[2016-09-05 18:15:34,440 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124530
[2016-09-05 18:15:34,455 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124529
[2016-09-05 18:15:34,457 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124527
[2016-09-05 18:15:34,460 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124533
[2016-09-05 18:15:34,462 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124528
[2016-09-05 18:15:34,462 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124531
[2016-09-05 18:15:34,463 - DQLDaemon.py:182 -    _do_training_step() ] Got minibatch of size 11
[2016-09-05 18:15:34,469 - DQLDaemon.py:147 -                start() ] Finished training step in 0.03389739990234375 seconds
[2016-09-05 18:15:34,469 - DQLDaemon.py:159 -                start() ] Sleeping for 0.9553170204162598 seconds
[2016-09-05 18:15:35,433 - discrete_deepq.py:251 -               action() ] Chose calculated action 0
[2016-09-05 18:15:35,443 - DQLDaemon.py:167 -                start() ] Cumulative reward: 0.0
[2016-09-05 18:15:35,470 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124530
[2016-09-05 18:15:35,479 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124529
[2016-09-05 18:15:35,486 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124531
[2016-09-05 18:15:35,489 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124527
[2016-09-05 18:15:35,491 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124528
[2016-09-05 18:15:35,492 - DQLDaemon.py:182 -    _do_training_step() ] Got minibatch of size 12
[2016-09-05 18:15:35,498 - DQLDaemon.py:147 -                start() ] Finished training step in 0.05416393280029297 seconds
[2016-09-05 18:15:35,498 - DQLDaemon.py:159 -                start() ] Sleeping for 0.9350423812866211 seconds
[2016-09-05 18:15:36,470 - discrete_deepq.py:251 -               action() ] Chose calculated action 1
[2016-09-05 18:15:36,473 - DQLDaemon.py:167 -                start() ] Cumulative reward: 0.0
[2016-09-05 18:15:36,476 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124527
[2016-09-05 18:15:36,483 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124528
[2016-09-05 18:15:36,488 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124530
[2016-09-05 18:15:36,494 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124529
[2016-09-05 18:15:36,496 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124531
[2016-09-05 18:15:36,505 - DQLDaemon.py:182 -    _do_training_step() ] Got minibatch of size 12
[2016-09-05 18:15:36,511 - DQLDaemon.py:147 -                start() ] Finished training step in 0.03751516342163086 seconds
[2016-09-05 18:15:36,511 - DQLDaemon.py:159 -                start() ] Sleeping for 0.9599819183349609 seconds
[2016-09-05 18:15:37,477 - discrete_deepq.py:247 -               action() ] Randomly chose action 0
[2016-09-05 18:15:37,533 - DQLDaemon.py:167 -                start() ] Cumulative reward: 0.0
[2016-09-05 18:15:37,538 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124530
[2016-09-05 18:15:37,538 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124529
[2016-09-05 18:15:37,552 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124528
[2016-09-05 18:15:37,553 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124527
[2016-09-05 18:15:37,557 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124531
[2016-09-05 18:15:37,558 - DQLDaemon.py:182 -    _do_training_step() ] Got minibatch of size 12
[2016-09-05 18:15:37,563 - DQLDaemon.py:147 -                start() ] Finished training step in 0.02956390380859375 seconds
[2016-09-05 18:15:37,563 - DQLDaemon.py:159 -                start() ] Sleeping for 0.9149355888366699 seconds
[2016-09-05 18:15:38,522 - discrete_deepq.py:251 -               action() ] Chose calculated action 0
[2016-09-05 18:15:38,524 - DQLDaemon.py:167 -                start() ] Cumulative reward: 0.0
[2016-09-05 18:15:38,525 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124528
[2016-09-05 18:15:38,533 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124527
[2016-09-05 18:15:38,538 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124530
[2016-09-05 18:15:38,543 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124529
[2016-09-05 18:15:38,546 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124531
[2016-09-05 18:15:38,547 - DQLDaemon.py:182 -    _do_training_step() ] Got minibatch of size 12
[2016-09-05 18:15:38,552 - DQLDaemon.py:147 -                start() ] Finished training step in 0.028208255767822266 seconds
[2016-09-05 18:15:38,552 - DQLDaemon.py:159 -                start() ] Sleeping for 0.9698793888092041 seconds
[2016-09-05 18:15:39,528 - discrete_deepq.py:247 -               action() ] Randomly chose action 2
[2016-09-05 18:15:39,535 - DQLDaemon.py:167 -                start() ] Cumulative reward: 0.0
[2016-09-05 18:15:39,543 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124528
[2016-09-05 18:15:39,549 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124529
[2016-09-05 18:15:39,553 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124530
[2016-09-05 18:15:39,558 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124531
[2016-09-05 18:15:39,568 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124527
[2016-09-05 18:15:39,570 - DQLDaemon.py:182 -    _do_training_step() ] Got minibatch of size 17
[2016-09-05 18:15:39,575 - DQLDaemon.py:147 -                start() ] Finished training step in 0.039549827575683594 seconds
[2016-09-05 18:15:39,575 - DQLDaemon.py:159 -                start() ] Sleeping for 0.9548757076263428 seconds
[2016-09-05 18:15:40,536 - discrete_deepq.py:247 -               action() ] Randomly chose action 0
[2016-09-05 18:15:40,538 - DQLDaemon.py:167 -                start() ] Cumulative reward: 0.0
[2016-09-05 18:15:40,539 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124530
[2016-09-05 18:15:40,589 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124528
[2016-09-05 18:15:40,591 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124527
[2016-09-05 18:15:40,603 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124531
[2016-09-05 18:15:40,609 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124529
[2016-09-05 18:15:40,611 - DQLDaemon.py:182 -    _do_training_step() ] Got minibatch of size 17
[2016-09-05 18:15:40,618 - DQLDaemon.py:147 -                start() ] Finished training step in 0.0798802375793457 seconds
[2016-09-05 18:15:40,618 - DQLDaemon.py:159 -                start() ] Sleeping for 0.9179153442382812 seconds
[2016-09-05 18:15:41,578 - discrete_deepq.py:251 -               action() ] Chose calculated action 0
[2016-09-05 18:15:41,580 - DQLDaemon.py:167 -                start() ] Cumulative reward: 0.0
[2016-09-05 18:15:41,583 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124527
[2016-09-05 18:15:41,586 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124529
[2016-09-05 18:15:41,592 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124530
[2016-09-05 18:15:41,595 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124531
[2016-09-05 18:15:41,610 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124528
[2016-09-05 18:15:41,617 - DQLDaemon.py:182 -    _do_training_step() ] Got minibatch of size 17
[2016-09-05 18:15:41,623 - DQLDaemon.py:147 -                start() ] Finished training step in 0.04236650466918945 seconds
[2016-09-05 18:15:41,623 - DQLDaemon.py:159 -                start() ] Sleeping for 0.9553356170654297 seconds
[2016-09-05 18:15:42,585 - discrete_deepq.py:247 -               action() ] Randomly chose action 0
[2016-09-05 18:15:42,587 - DQLDaemon.py:167 -                start() ] Cumulative reward: 0.0
[2016-09-05 18:15:42,594 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124528
[2016-09-05 18:15:42,611 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124531
[2016-09-05 18:15:42,616 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124530
[2016-09-05 18:15:42,619 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124529
[2016-09-05 18:15:42,620 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124527
[2016-09-05 18:15:42,622 - DQLDaemon.py:182 -    _do_training_step() ] Got minibatch of size 17
[2016-09-05 18:15:42,628 - DQLDaemon.py:147 -                start() ] Finished training step in 0.04142928123474121 seconds
[2016-09-05 18:15:42,629 - DQLDaemon.py:159 -                start() ] Sleeping for 0.9564523696899414 seconds
[2016-09-05 18:15:43,592 - discrete_deepq.py:247 -               action() ] Randomly chose action 0
[2016-09-05 18:15:43,594 - DQLDaemon.py:167 -                start() ] Cumulative reward: 0.0
[2016-09-05 18:15:43,598 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124531
[2016-09-05 18:15:43,598 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124530
[2016-09-05 18:15:43,614 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124527
[2016-09-05 18:15:43,622 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124529
[2016-09-05 18:15:43,629 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124528
[2016-09-05 18:15:43,631 - DQLDaemon.py:182 -    _do_training_step() ] Got minibatch of size 17
[2016-09-05 18:15:43,638 - DQLDaemon.py:147 -                start() ] Finished training step in 0.04353046417236328 seconds
[2016-09-05 18:15:43,638 - DQLDaemon.py:159 -                start() ] Sleeping for 0.9541888236999512 seconds
[2016-09-05 18:15:44,600 - discrete_deepq.py:251 -               action() ] Chose calculated action 2
[2016-09-05 18:15:44,604 - DQLDaemon.py:167 -                start() ] Cumulative reward: 0.0
[2016-09-05 18:15:44,629 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124530
[2016-09-05 18:15:44,631 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124531
[2016-09-05 18:15:44,633 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124528
[2016-09-05 18:15:44,635 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124527
[2016-09-05 18:15:44,637 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124529
[2016-09-05 18:15:44,639 - DQLDaemon.py:182 -    _do_training_step() ] Got minibatch of size 17
[2016-09-05 18:15:44,644 - DQLDaemon.py:147 -                start() ] Finished training step in 0.039940834045410156 seconds
[2016-09-05 18:15:44,645 - DQLDaemon.py:159 -                start() ] Sleeping for 0.9577329158782959 seconds
[2016-09-05 18:15:45,644 - discrete_deepq.py:251 -               action() ] Chose calculated action 2
[2016-09-05 18:15:45,648 - DQLDaemon.py:167 -                start() ] Cumulative reward: 0.0
[2016-09-05 18:15:45,661 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124531
[2016-09-05 18:15:45,664 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124527
[2016-09-05 18:15:45,665 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124530
[2016-09-05 18:15:45,673 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124528
[2016-09-05 18:15:45,680 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124529
[2016-09-05 18:15:45,684 - DQLDaemon.py:182 -    _do_training_step() ] Got minibatch of size 17
[2016-09-05 18:15:45,690 - DQLDaemon.py:147 -                start() ] Finished training step in 0.041954755783081055 seconds
[2016-09-05 18:15:45,690 - DQLDaemon.py:159 -                start() ] Sleeping for 0.9557032585144043 seconds
[2016-09-05 18:15:46,687 - discrete_deepq.py:251 -               action() ] Chose calculated action 1
[2016-09-05 18:15:46,692 - DQLDaemon.py:167 -                start() ] Cumulative reward: 0.0
[2016-09-05 18:15:46,693 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124531
[2016-09-05 18:15:46,694 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124529
[2016-09-05 18:15:46,713 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124528
[2016-09-05 18:15:46,717 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124530
[2016-09-05 18:15:46,726 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124527
[2016-09-05 18:15:46,731 - DQLDaemon.py:182 -    _do_training_step() ] Got minibatch of size 17
[2016-09-05 18:15:46,737 - DQLDaemon.py:147 -                start() ] Finished training step in 0.0448911190032959 seconds
[2016-09-05 18:15:46,737 - DQLDaemon.py:159 -                start() ] Sleeping for 0.9525916576385498 seconds
[2016-09-05 18:15:47,731 - discrete_deepq.py:247 -               action() ] Randomly chose action 1
[2016-09-05 18:15:47,742 - DQLDaemon.py:167 -                start() ] Cumulative reward: 0.0
[2016-09-05 18:15:47,746 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124529
[2016-09-05 18:15:47,751 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124530
[2016-09-05 18:15:47,762 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124527
[2016-09-05 18:15:47,774 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124531
[2016-09-05 18:15:47,776 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124528
[2016-09-05 18:15:47,792 - DQLDaemon.py:182 -    _do_training_step() ] Got minibatch of size 25
[2016-09-05 18:15:47,799 - DQLDaemon.py:147 -                start() ] Finished training step in 0.055921316146850586 seconds
[2016-09-05 18:15:47,799 - DQLDaemon.py:159 -                start() ] Sleeping for 0.9333617687225342 seconds
[2016-09-05 18:15:48,740 - discrete_deepq.py:251 -               action() ] Chose calculated action 1
[2016-09-05 18:15:48,786 - DQLDaemon.py:167 -                start() ] Cumulative reward: 0.0
[2016-09-05 18:15:48,802 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124529
[2016-09-05 18:15:48,803 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124528
[2016-09-05 18:15:48,806 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124530
[2016-09-05 18:15:48,806 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124531
[2016-09-05 18:15:48,819 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124527
[2016-09-05 18:15:48,833 - DQLDaemon.py:182 -    _do_training_step() ] Got minibatch of size 25
[2016-09-05 18:15:48,839 - DQLDaemon.py:147 -                start() ] Finished training step in 0.05306601524353027 seconds
[2016-09-05 18:15:48,839 - DQLDaemon.py:159 -                start() ] Sleeping for 0.9027547836303711 seconds
[2016-09-05 18:15:49,749 - discrete_deepq.py:247 -               action() ] Randomly chose action 1
[2016-09-05 18:15:49,786 - DQLDaemon.py:167 -                start() ] Cumulative reward: 0.0
[2016-09-05 18:15:49,797 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124530
[2016-09-05 18:15:49,797 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124528
[2016-09-05 18:15:49,809 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124531
[2016-09-05 18:15:49,813 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124529
[2016-09-05 18:15:49,828 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124527
[2016-09-05 18:15:49,839 - DQLDaemon.py:182 -    _do_training_step() ] Got minibatch of size 27
[2016-09-05 18:15:49,845 - DQLDaemon.py:147 -                start() ] Finished training step in 0.0588078498840332 seconds
[2016-09-05 18:15:49,845 - DQLDaemon.py:159 -                start() ] Sleeping for 0.9051485061645508 seconds
[2016-09-05 18:15:50,759 - discrete_deepq.py:251 -               action() ] Chose calculated action 1
[2016-09-05 18:15:50,764 - DQLDaemon.py:167 -                start() ] Cumulative reward: 0.0
[2016-09-05 18:15:50,766 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124528
[2016-09-05 18:15:50,811 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124530
[2016-09-05 18:15:50,813 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124527
[2016-09-05 18:15:50,816 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124531
[2016-09-05 18:15:50,820 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124529
[2016-09-05 18:15:50,851 - DQLDaemon.py:182 -    _do_training_step() ] Got minibatch of size 27
[2016-09-05 18:15:50,857 - DQLDaemon.py:147 -                start() ] Finished training step in 0.09299492835998535 seconds
[2016-09-05 18:15:50,857 - DQLDaemon.py:159 -                start() ] Sleeping for 0.903057336807251 seconds
[2016-09-05 18:15:51,804 - discrete_deepq.py:251 -               action() ] Chose calculated action 1
[2016-09-05 18:15:51,809 - DQLDaemon.py:167 -                start() ] Cumulative reward: 0.0
[2016-09-05 18:15:51,832 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124527
[2016-09-05 18:15:51,834 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124528
[2016-09-05 18:15:51,835 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124531
[2016-09-05 18:15:51,856 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124529
[2016-09-05 18:15:51,856 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124530
[2016-09-05 18:15:51,857 - DQLDaemon.py:182 -    _do_training_step() ] Got minibatch of size 27
[2016-09-05 18:15:51,863 - DQLDaemon.py:147 -                start() ] Finished training step in 0.053746938705444336 seconds
[2016-09-05 18:15:51,863 - DQLDaemon.py:159 -                start() ] Sleeping for 0.943378210067749 seconds
[2016-09-05 18:15:52,834 - discrete_deepq.py:247 -               action() ] Randomly chose action 2
[2016-09-05 18:15:52,858 - DQLDaemon.py:167 -                start() ] Cumulative reward: 0.0
[2016-09-05 18:15:52,863 - LustreGame.py:223 -       get_mini_batch() ] NotEnoughDataError for ts 1473124530
